Código;Descripción
X65.03;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, mientras está ocupado en otros tipos de trabajo
X65.04;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, mientras descansa, duerme, come o realiza otras actividades vitales
X65.08;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, mientras está ocupado en otras actividades especificadas
X65.09;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, vivienda, durante una actividad no especificada
X65.10;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, mientras realiza una actividad deportiva
X65.11;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, mientras realiza una actividad de recreación
X65.12;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, mientras trabaja en forma remunerada
X65.13;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, mientras está ocupado en otros tipos de trabajo
X65.14;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, mientras descansa, duerme, come o realiza otras actividades vitales
X65.18;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, mientras está ocupado en otras actividades especificadas
X65.19;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, institución residencial, durante una actividad no especificada
X65.20;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad deportiva
X65.21;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, mientras realiza una actividad de recreación
X65.22;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, mientras trabaja en forma remunerada
X65.23;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otros tipos de trabajo
X65.24;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, mientras descansa, duerme, come o realiza otras actividades vitales
X65.28;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, mientras está ocupado en otras actividades especificadas
X65.29;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, escuelas, otras instituciones y áreas administrativas públicas, durante una actividad no especificada
X65.30;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, mientras realiza una actividad deportiva
X65.31;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, mientras realiza una actividad de recreación
X65.32;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, mientras trabaja en forma remunerada
X65.33;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, mientras está ocupado en otros tipos de trabajo
X65.34;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, mientras descansa, duerme, come o realiza otras actividades vitales
X65.38;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, mientras está ocupado en otras actividades especificadas
X65.39;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, áreas de deporte y atletismo, durante una actividad no especificada
X65.40;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, mientras realiza una actividad deportiva
X65.41;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, mientras realiza una actividad de recreación
X65.42;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, mientras trabaja en forma remunerada
X65.43;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, mientras está ocupado en otros tipos de trabajo
X65.44;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, mientras descansa, duerme, come o realiza otras actividades vitales
X65.48;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, mientras está ocupado en otras actividades especificadas
X65.49;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, calles y carreteras, durante una actividad no especificada
X65.50;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, mientras realiza una actividad deportiva
X65.51;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, mientras realiza una actividad de recreación
X65.52;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, mientras trabaja en forma remunerada
X65.53;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, mientras está ocupado en otros tipos de trabajo
X65.54;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, mientras descansa, duerme, come o realiza otras actividades vitales
X65.58;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, mientras está ocupado en otras actividades especificadas
X65.59;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, comercio y área de servicios, durante una actividad no especificada
X65.60;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, mientras realiza una actividad deportiva
X65.61;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, mientras realiza una actividad de recreación
X65.62;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, mientras trabaja en forma remunerada
X65.63;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, mientras está ocupado en otros tipos de trabajo
X65.64;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, mientras descansa, duerme, come o realiza otras actividades vitales
X65.68;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, mientras está ocupado en otras actividades especificadas
X65.69;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, área industrial y de la construcción, durante una actividad no especificada
X65.70;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, mientras realiza una actividad deportiva
X65.71;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, mientras realiza una actividad de recreación
X65.72;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, mientras trabaja en forma remunerada
X65.73;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, mientras está ocupado en otros tipos de trabajo
X65.74;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, mientras descansa, duerme, come o realiza otras actividades vitales
X65.78;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, mientras está ocupado en otras actividades especificadas
X65.79;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, granja, durante una actividad no especificada
X65.80;Envenenamiento autoinfligido intencionalmente por, y exposición al alcohol, otro lugar especificado, mientras realiza una actividad deportiva
